source target sign
MCBR YCIF +
MCBR YCIG +
MCBR MCBA -
MCBR YCIE +
FEAR TYNA +
FEAR FEAB +
PGRR YMJC -
PGRR YCJF -
PGRR YCJG -
PGRR YMJD -
PGRR MPAA -
PGRR YCJX -
PGRR TYRR -
PGRR YCJY -
PHOB PHNF +
PHOB PHNL +
PHOB CUSA +
PHOB PHNG +
PHOB PSIE +
PHOB SBCC -
PHOB PHNP +
PHOB PHOR +
PHOB CUSB +
PHOB PHNN +
PHOB PHNM +
PHOB UGPQ -
PHOB CUSF +
PHOB PHNH +
PHOB PHNE_2 +
PHOB UGPE +
PHOB PHNI +
PHOB MIPA +
PHOB SBCD -
PHOB PHNE_1 +
PHOB PHOB +
PHOB FEAR -
PHOB PRPR -
PHOB UGPC -
PHOB YDFH +
PHOB YEGH +
PHOB CUSS +
PHOB UGPA +
PHOB UGPB -
PHOB PHNK +
PHOB PHNO +
PHOB PHND +
PHOB YHJC +
PHOB PHNJ +
PHOB EDA -
PHOB PHNC +
PHOB YEDX +
PHOB CUSR +
PHOB PHOH +
PHOB CUSC +
GADW GADB +
GADW GADC +
GADW GADA -
GADW GADX -
ADA ALKB +
ADA AIDB +
ADA ADA +
ADA ALKA +
HIPAB HIPA -
HIPAB HIPB -
HIPAB RELA -
HIPAB MAZF -
HIPAB MAZE -
GLRR RSEA +
GLRR RSEB +
GLRR RPOE +
GLRR GLMY +
GLRR RSEC +
MODE DEOB -
MODE CCMB +
MODE NARL +
MODE HYCF +
MODE CCMC +
MODE DEOA -
MODE DMSB -
MODE CCMF +
MODE HYCA +
MODE NAPH +
MODE NARX +
MODE HYCE +
MODE HYCH +
MODE MOAB +
MODE DMSA -
MODE MOAE +
MODE CCMH +
MODE CCMD +
MODE NAPF +
MODE HYCC +
MODE HYCB +
MODE MODC -
MODE MODB -
MODE CCMG +
MODE MOAC +
MODE NAPA +
MODE CCMA +
MODE MOAD +
MODE MODA -
MODE HYCD +
MODE DMSC -
MODE HYCI +
MODE NAPG +
MODE HYCG +
MODE NAPB +
MODE NAPD +
MODE NAPC +
MODE CCME +
MODE DEOC -
MODE DEOD -
MODE MOAA +
ADIY GADB +
ADIY GLTF +
ADIY ADIA +
ADIY GADA +
ADIY GLTD +
ADIY GLTB +
ADIY GADC +
ADIY GADX +
ICLR ACEB -
ICLR ICLR -
ICLR ACEA -
ICLR ACEK -
FADR FABG +
FADR SROD -
FADR FADJ -
FADR FADI -
FADR FADE -
FADR FADD -
FADR FABH +
FADR FABB +
FADR ICLR +
FADR FADH -
FADR FABD +
YEDW YEDX +
GALS GALM -
GALS GALK -
GALS GALT +
GALS GALE -
