source target sign
NFIA MBP +
NFIA COL1A2 -
RARB TGM2 +
RARB RQCD1 +
RARB LAMB1 -
RARB JUN -
RARB RARB -
RARB UCP1 +
RARB CRYAB +
RARB H1F0 -
RARB NCOA2 -
RARB FLI1 +
RARB FAS +
RARB SCD1 +
RARB PCK1 -
RARB NKX2-1 +
RARB COL1A2 -
RARB NPDC1 +
RARB CTNNB1 -
RARB LGALS12 +
RARB TGM1 -
RARB FLII -
RARB POU5F1 +
RARB RARA +
RARB HOXA1 -
RARB TRH -
RARB TGFBR3 -
RARB MDK +
RARB PCP2 -
RARB GRIP1 -
ATF2 PDYN +
ATF2 NPY -
ATF2 PPARG +
ATF2 MCL1 -
ATF2 CRH +
ATF2 BCL2 -
ATF2 BDNF +
ATF2 FOS +
ATF2 ARC +
ATF2 FOSB +
ATF2 PCNA -
CREB3L2 PDYN +
CREB3L2 NPY +
CREB3L2 CRH +
CREB3L2 FOS -
CREB3L2 AQP2 +
CREB3L2 MITF -
CREB3L2 MCL1 -
CREB3L2 BCL2 +
CREB3L2 BDNF -
CREB3L2 ARC -
CREB3L2 FOSB -
CREB3L2 PCNA -
MAPK12 IL1B -
MAPK12 IL6 -
MAPK12 IL18 +
MAPK12 IL12A -
MAPK12 TNF -
MAPK12 IL23A +
MAPK12 IL12B -
MAPK12 IL1A -
MAPK12 NOS2 -
TCF7 PPARD -
TCF7 JUN -
TCF7 MYC -
TCF7 MITF -
TCF7 CCND2 +
TCF7 BIRC5 +
TCF7 CCND3 +
TCF7 CCND1 +
TCF7 MMP7 -
TCF7 FOSL1 -
CLOCK PER2 -
CLOCK PER3 +
CLOCK NR1D1 +
CLOCK BHLHE41 +
CLOCK RORC -
CLOCK RORB +
CLOCK BHLHE40 +
CLOCK RORA +
CLOCK PER1 +
CLOCK CRY1 +
CLOCK CRY2 +
RXRA SLC27A4 -
RXRA APOA2 +
RXRA CPT2 -
RXRA CD36 +
RXRA SLC27A1 +
RXRA FABP4 -
RXRA LPL -
RXRA ADIPOQ -
RXRA FABP1 -
RXRA GYK +
RXRA ACAA1B -
RXRA CYP4A14 +
RXRA MMP1A +
RXRA PCK2 -
RXRA OLR1 +
RXRA MMP1B +
RXRA GK2 -
RXRA APOC3 -
RXRA SCD2 -
RXRA ACOX3 +
RXRA EHHADH -
RXRA ME1 +
RXRA CPT1B -
RXRA APOA5 -
RXRA SCP2 -
RXRA ACSBG1 -
RXRA APOA1 +
RXRA ACSL3 -
RXRA SCD1 -
RXRA CYP4A32 -
RXRA CPT1C +
RXRA PLIN1 +
RXRA PDPK1 +
RXRA ACSBG2 +
RXRA NR1H3 +
RXRA SCD4 -
RXRA ACSL5 -
RXRA CYP4A31 -
RXRA ACOX2 +
RXRA CYP4A30B-PS +
RXRA AQP7 -
RXRA HMGCS2 +
RXRA FABP3 +
RXRA ACOX1 -
RXRA ANGPTL4 +
RXRA PCK1 -
RXRA UCP1 +
RXRA DBI -
RXRA SCD3 -
RXRA CYP4A29-PS +
RXRA PLTP +
RXRA CYP4A10 +
RXRA CPT1A +
RXRA ILK -
RXRA CYP8B1 +
RXRA ACSL4 -
RXRA ACSL1 -
RXRA ACADM -
RXRA UBC +
RXRA CYP7A1 -
RXRA CYP4A12A +
RXRA ACSL6 -
RXRA SORBS1 -
RXRA CYP27A1 -
RXRA CYP4A12B +
RXRA ACADL -
RXRA ACAA1A +
RXRA FADS2 -
HOXB3 NKX2-1 -
BRCA1 MAD2L1 +
BRCA1 POU2F1 +
BRCA1 RAD51 +
BRCA1 XRCC2 +
BRCA1 GADD45A +
GLI2 HHIP -
GLI2 GLI3 -
GLI2 WNT7A -
GLI2 WNT10A -
GLI2 WNT8B +
GLI2 WNT2 +
GLI2 WNT3A -
GLI2 WNT5A -
GLI2 WNT2B +
GLI2 PTCH1 -
GLI2 GLI2 -
GLI2 WNT6 -
GLI2 WNT3 -
GLI2 PTCH2 -
GLI2 WNT9B -
GLI2 WNT5B +
GLI2 GLI1 +
GLI2 WNT16 +
GLI2 WNT4 -
GLI2 MYF5 -
GLI2 WNT11 -
GLI2 FOXA2 -
GLI2 WNT9A +
GLI2 WNT1 -
GLI2 FGF15 +
GLI2 WNT10B -
GLI2 WNT8A +
GLI2 BMP4 -
GLI2 BMP2 +
GLI2 WNT7B -
MYBL1 CCNA1 +
VDR SLC34A2 +
VDR SLC8A1 -
VDR ATP2B1 -
VDR CALB1 -
VDR TRPV6 +
VDR S100G +
VDR TRPV5 -
PAX3 MYOD1 -
PAX3 BMP4 +
PAX3 MCM5 -
PAX3 MET -
NFYA CD74 +
NFYA H2-DMB2 +
NFYA H2-OA +
NFYA H2-DMB1 -
NFYA H2-EB1 -
NFYA H2-AB1 +
NFYA H2-AA -
NFYA H2-DMA -
NFYA H2-EA-PS +
NFYA H2-OB +
REL IL2 -
REL IL12A -
REL TNF +
REL MYC +
REL IL12B +
REL NOL3 +
REL NOS2 -
REL MSX1 +
REL RDH7 +
POU2F1 SNRPB -
POU2F1 NR3C1 -
POU2F1 CD79A -
POU2F1 HMGB2 +
POU2F1 FGFR1 -
POU2F1 REL +
POU2F1 IL5 +
POU2F1 GNRHR +
POU2F1 MYF5 +
POU2F1 PARP2 -
POU2F1 CDX2 +
POU2F1 ENPEP +
POU2F1 POU2AF1 +
POU2F1 SFPI1 -
POU2F1 RDH7 -
POU2F1 FGF4 +
POU2F1 KIT -
POU2F1 NIF3L1 +
POU2F1 PRRX1 +
POU2F1 CCND1 +
POU2F1 CSN2 -
POU2F1 MYH10 +
POU2F1 BDKRB1 +
POU2F1 FGL2 -
POU2F1 C4A +
POU2F1 LCN8 +
POU2F1 C4B +
POU2F1 NOS2 -
POU2F1 PRKAR1B -
POU2F1 MMU-LET-7G-5P +
POU2F1 CITED1 +
POU2F1 THRB -
POU2F1 SNRPA -
POU2F1 CD79B -
POU2F1 DES +
POU2F1 CRISP1 -
POU2F1 IL2 +
POU2F1 ABL1 +
POU2F1 JUND +
ARNTL PER3 -
ARNTL BHLHE41 -
ARNTL NR1D1 +
ARNTL PER2 -
ARNTL RORC +
ARNTL RORB -
ARNTL BHLHE40 +
ARNTL RORA +
ARNTL PER1 +
ARNTL CRY1 +
ARNTL CRY2 +
PML CCNA1 -
PML JUP -
ATF3 FGF2 +
ATF3 GCG +
ATF3 PCK1 -
PPARG SLC27A4 -
PPARG NOS2 -
PPARG PDK4 -
PPARG SLC27A1 +
PPARG NCOA1 -
PPARG MMU-MIR-205-5P +
PPARG GYK -
PPARG LPL +
PPARG CPT1C +
PPARG MMU-MIR-182-5P +
PPARG TMEM159 +
PPARG PLIN1 -
PPARG PLIN4 +
PPARG HGF -
PPARG PAQR7 +
PPARG CD36 +
PPARG MMP1A -
PPARG PCK2 -
PPARG FABP2 +
PPARG C1QTNF3 -
PPARG PEX11A +
PPARG GK2 +
PPARG UCP2 +
PPARG RARB +
PPARG SCD2 -
PPARG MMU-MIR-148B-3P +
PPARG SLC22A1 -
PPARG CPT1B +
PPARG SCAND1 -
PPARG ACSBG1 +
PPARG EGR1 -
PPARG NR1H3 -
PPARG ACSL4 +
PPARG OLR1 -
PPARG SCD3 +
PPARG BCL2 -
PPARG NFKB1 -
PPARG ABCG1 -
PPARG ACSL3 -
PPARG SCD1 -
PPARG UCP3 -
PPARG ACSL6 +
PPARG IL4 +
PPARG SUMO1 +
PPARG MMP3 +
PPARG MMP1B +
PPARG MMU-MIR-103-3P -
PPARG SCD4 +
PPARG ACSL5 +
PPARG PPARGC1A +
PPARG PTGS2 +
PPARG AQP7 +
PPARG ACOX1 +
PPARG ADIPOQ -
PPARG ATP2A2 -
PPARG FABP4 +
PPARG APOE +
PPARG UCP1 -
PPARG CASP3 -
PPARG SAT1 -
PPARG DBI +
PPARG FABP5 -
PPARG BCMO1 +
PPARG ACSBG2 -
PPARG FN1 -
PPARG PLTP -
PPARG CPT1A -
PPARG PCK1 -
PPARG MMU-MIR-183-5P +
PPARG MMU-MIR-378A-3P +
PPARG ACSL1 -
PPARG SENP2 -
PPARG MMU-MIR-378A-5P +
PPARG SCARB1 +
PPARG ANGPTL4 -
PPARG MMU-MIR-96-5P -
PPARG MED1 -
PPARG SORBS1 +
PPARG CYP27A1 +
PPARG ACAA1A -
PPARG PTGER2 +
PPARG GATA3 -
PPARG SLC26A1 -
TFAP2C ADAR +
CTNNB1 CCND2 +
CTNNB1 CCND3 +
CTNNB1 CCND1 -
STAT2 MYC -
STAT2 CCND1 +
STAT2 SOCS7 -
STAT2 CCND2 -
STAT2 SOCS4 -
STAT2 SOCS3 -
STAT2 CCND3 -
STAT2 SOCS2 +
STAT2 SOCS5 -
STAT2 PIM1 -
STAT2 SOCS1 -
RARG TGM2 +
RARG CYP26A1 -
RARG RQCD1 +
RARG LAMB1 +
RARG UCP1 -
RARG HOXB4 -
RARG CRYAB -
RARG H1F0 -
RARG NCOA2 +
RARG HOXD4 +
RARG FLI1 +
RARG FAS +
RARG SCD1 -
RARG NKX2-1 -
RARG COL1A2 +
RARG CTNNB1 -
RARG LGALS12 -
RARG TGM1 +
RARG FLII +
RARG POU5F1 +
RARG HOXB1 +
RARG RARA +
RARG TRH +
RARG TGFBR3 -
RARG MDK -
RARG PCP2 -
RARG GRIP1 +
ERG COL11A2 -
ERG VWF -
ERG VIM -
ERG CDH5 +
ERG SETDB1 +
IRF1 IL12B -
IRF1 IL12A -
SMAD3 CEBPD +
SMAD3 ITGA5 +
SMAD3 TGFB1 +
SMAD3 COL3A1 -
SMAD3 PPARG +
SMAD3 MYC +
SMAD3 SLC2A1 -
SMAD3 CDKN2B +
SMAD3 COL5A1 -
SMAD3 BAX +
SMAD3 GAST +
SMAD3 CDK2 +
SMAD3 ACTA2 +
SMAD3 GNRHR +
SMAD3 SF3B2 +
